id,stream,action_date,fiscal_year,case_number,subject_as_published,company,provisions,provisions_as_published,penalty_amount,press_release_url,source_url
"shitauke-2024-09-04-0250","shitauke","2024-09-04","2024","","パルシステム生活協同組合連合会","パルシステム生活協同組合連合会","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"dk-2024-07-26-0021","dk","2024-07-26","2024","6(措)9","ASP Japan（同）","","19条 / 一般指定10項","19条（一般指定10項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"shitauke-2024-07-05-0251","shitauke","2024-07-05","2024","","株式会社トヨタカスタマイジング＆ディベロップメント","株式会社トヨタカスタマイジング＆ディベロップメント","第4条第1項第4号 / 第4条第2項第3号","第4条第1項第4号（返品の禁止） 第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"dk-2024-06-27-0020","dk","2024-06-27","2024","6(措)8","ＬＰガス容器用バルブの製造販売業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"shitauke-2024-06-19-0252","shitauke","2024-06-19","2024","","大阪シーリング印刷株式会社","大阪シーリング印刷株式会社","第4条第2項第4号","第 4 条第 2 項第 4 号（不当な給付内容の変更及び不当なやり直しの禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"shitauke-2024-06-14-0253","shitauke","2024-06-14","2024","","三井食品工業株式会社","三井食品工業株式会社","第4条第1項第3号","第 4 条第 1 項第 3 号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"dk-2024-05-30-0019","dk","2024-05-30","2024","6(措)7","青森市が発注する新型コロナウイルス感染症患者移送業務の入札参加業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"shitauke-2024-05-22-0254","shitauke","2024-05-22","2024","","生活協同組合コープさっぽろ","生活協同組合コープさっぽろ","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"dk-2024-05-22-0018","dk","2024-05-22","2024","6(措)6","名古屋市が発注する中学校スクールランチ調理等業務の入札参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-05-15-0017","dk","2024-05-15","2024","6(措)5","佐賀県有明海漁業協同組合","佐賀県有明海漁業協同組合","19条 / 一般指定12項","19条（一般指定12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-05-15-0016","dk","2024-05-15","2024","6(措)4","熊本県漁業協同組合連合会","熊本県漁業協同組合連合会","19条 / 一般指定12項","19条（一般指定12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-04-22-0037","dk","2024-04-22","2024","6(認)3","Google LLC","Google LLC","3条前段 / 19条 / 一般指定2項","3条前段又は19条（一般指定2項又は14項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-03-28-0043","dk","2024-03-28","2023","6(措)3","木工用ドリルの製造販売業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"shitauke-2024-03-25-0255","shitauke","2024-03-25","2023","","ニデックテクノモータ株式会社","ニデックテクノモータ株式会社","第4条第2項第3号","第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"shitauke-2024-03-19-0256","shitauke","2024-03-19","2023","","株式会社Ｇｉｏ","株式会社Ｇｉｏ","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"shitauke-2024-03-15-0257","shitauke","2024-03-15","2023","","株式会社ビッグモーター及び株式会社ビーエムハナテン","株式会社ビッグモーター及び株式会社ビーエムハナテン","第4条第1項第5号 / 第4条第1項第6号 / 第4条第2項第3号","第4条第1項第5号（買いたたきの禁止） 第4条第1項第6号（購入・利用強制の禁止） 第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"dk-2024-03-14-0042","dk","2024-03-14","2023","6(措)2","独立行政法人国立印刷局が発注する再生巻取用紙の入札参加業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"shitauke-2024-03-12-0258","shitauke","2024-03-12","2023","","コストコホールセールジャパン株式会社","コストコホールセールジャパン株式会社","第4条第1項第3号 / 第4条第1項第4号","第4条第1項第3号（下請代金の減額の禁止） 第4条第1項第4号（返品の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"shitauke-2024-03-07-0259","shitauke","2024-03-07","2023","","日産自動車株式会社","日産自動車株式会社","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"dk-2024-03-04-0041","dk","2024-03-04","2023","6(措)1","東邦瓦斯供給区域に所在する大口需要家が発注する都市ガスの見積り合わせ等の参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"shitauke-2024-02-28-0260","shitauke","2024-02-28","2023","","サンデン株式会社","サンデン株式会社","第4条第2項第3号","第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"shitauke-2024-02-21-0261","shitauke","2024-02-21","2023","","ダイオーロジスティクス株式会社","ダイオーロジスティクス株式会社","第4条第1項第6号","第4条第1項第6号（購入・利用強制の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"shitauke-2024-02-15-0262","shitauke","2024-02-15","2023","","王子ネピア株式会社","王子ネピア株式会社","第4条第2項第4号","第4条第2項第4号（不当な給付内容の変更及び不当なやり直しの禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"dk-2024-01-25-0048","dk","2024-01-25","2023","6(認)2","株式会社東京インテリア家具","株式会社東京インテリア家具","19条 / 2条","19条(2条9項5号）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"shitauke-2024-01-23-0263","shitauke","2024-01-23","2023","","株式会社メタルテック","株式会社メタルテック","第4条","第4条１項 第３号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"dk-2024-01-22-0047","dk","2024-01-22","2023","6(認)1","株式会社ＩＢＪ","株式会社ＩＢＪ","19条 / 一般指定12項","19条(一般指定12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"shitauke-2023-12-22-0264","shitauke","2023-12-22","2023","","株式会社伊藤軒","株式会社伊藤軒","第4条第1項第3号 / 第4条第1項第4号","第4条第1項第3号（下請代金の減額の禁止） 第4条第1項第4号（返品の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"shitauke-2023-11-30-0265","shitauke","2023-11-30","2023","","サンケン電気株式会社","サンケン電気株式会社","第4条第2項第3号","第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"dk-2023-10-03-0046","dk","2023-10-03","2023","5(認)3","ＴＯＨＯシネマズ株式会社","ＴＯＨＯシネマズ株式会社","19条 / 一般指定12項","19条(一般指定12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"dk-2023-09-28-0040","dk","2023-09-28","2023","5(措)5","高知県が発注する地質調査業務の入札参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"shitauke-2023-06-29-0266","shitauke","2023-06-29","2023","","株式会社ノジマ","株式会社ノジマ","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R5FYkankoku.html"
"dk-2023-06-27-0045","dk","2023-06-27","2023","5(認)2","福岡有明海漁業協同組合連合会","福岡有明海漁業協同組合連合会","19条 / 一般指定11項","19条(一般指定11項又は12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"dk-2023-04-06-0044","dk","2023-04-06","2023","5(認)1","株式会社ダイコク","株式会社ダイコク","19条 / 2条","19条(2条9項5号）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R5.html"
"dk-2023-03-30-0056","dk","2023-03-30","2022","5(措)4","旧一般電気事業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2023-03-30-0055","dk","2023-03-30","2022","5(措)3","旧一般電気事業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2023-03-30-0054","dk","2023-03-30","2022","5(措)2","旧一般電気事業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"shitauke-2023-03-29-0267","shitauke","2023-03-29","2022","","株式会社ナフコ","株式会社ナフコ","第4条第1項第4号","第4条第1項第4号（返品の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R4FYkankoku.html"
"shitauke-2023-03-27-0268","shitauke","2023-03-27","2022","","工機ホールディングス株式会社","工機ホールディングス株式会社","第4条第1項第5号","第4条第1項第5号（買いたたきの禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R4FYkankoku.html"
"dk-2023-03-24-0053","dk","2023-03-24","2022","5(措)1","独立行政法人国立病院機構が発注する九州エリアに所在する病院が調達する医薬品の入札参加業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"shitauke-2023-03-17-0269","shitauke","2023-03-17","2022","","株式会社キャメル珈琲","株式会社キャメル珈琲","第4条第1項第3号 / 第4条第1項第4号 / 第4条第2項第3号","第4条第1項第3号（下請代金の減額の禁止） 第4条第1項第4号（返品の禁止） 第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R4FYkankoku.html"
"shitauke-2023-03-16-0270","shitauke","2023-03-16","2022","","岡野バルブ製造株式会社","岡野バルブ製造株式会社","第4条第2項第3号","第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R4FYkankoku.html"
"shitauke-2023-03-08-0271","shitauke","2023-03-08","2022","","廣川株式会社","廣川株式会社","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R4FYkankoku.html"
"dk-2022-12-15-0052","dk","2022-12-15","2022","4(措)7","炭素鋼製突合せ溶接式管継手の製造販売業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2022-10-17-0051","dk","2022-10-17","2022","4(措)6","愛知県又は岐阜県に所在する病院が発注する医事業務の入札等の参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2022-10-06-0050","dk","2022-10-06","2022","4(措)5","広島市が発注するコンピュータ機器の入札参加業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2022-10-06-0049","dk","2022-10-06","2022","4(措)4","広島県が発注するコンピュータ機器の入札等の参加業者ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"shitauke-2022-09-09-0272","shitauke","2022-09-09","2022","","株式会社エスアイシステム","株式会社エスアイシステム","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R4FYkankoku.html"
"dk-2022-06-30-0059","dk","2022-06-30","2022","4(認)6、7","株式会社サイネックス及び株式会社スマートバリュー","株式会社サイネックス及び株式会社スマートバリュー","19条 / 一般指定14項","19条(一般指定14項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2022-06-02-0058","dk","2022-06-02","2022","4(認)5","エクスペディア・ロッジング・パートナー・サービシーズ・サール","","19条 / 一般指定12項","19条(一般指定12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2022-05-19-0057","dk","2022-05-19","2022","4(認)4","株式会社一蘭","株式会社一蘭","19条 / 2条","19条(2条9項4号）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R4.html"
"dk-2022-03-30-0062","dk","2022-03-30","2021","4(措)3","独立行政法人地域医療機能推進機構が発注する医薬品の入札参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R3.html"
"dk-2022-03-25-0064","dk","2022-03-25","2021","4(認)2、3","アメアスポーツジャパン株式会社及びウイルソン・スポーティング・グッズ・カンパニー","アメアスポーツジャパン株式会社及びウイルソン・スポーティング・グッズ・カンパニー","19条 / 一般指定14項","19条(一般指定14項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R3.html"
"dk-2022-03-16-0063","dk","2022-03-16","2021","4(認)1","Booking.com B.V.","Booking.com B.V.","19条 / 一般指定12項","19条(一般指定12項）","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R3.html"
"dk-2022-03-03-0061","dk","2022-03-03","2021","4(措)2","日本年金機構が発注するデータプリントサービスの入札等の参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R3.html"
"shitauke-2022-03-01-0273","shitauke","2022-03-01","2021","","株式会社イング","株式会社イング","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R3FYkankoku.html"
"dk-2022-02-25-0060","dk","2022-02-25","2021","4(措)1","国、地方公共団体等が発注する群馬県の区域に所在する施設を対象にした機械警備業務の競争入札等の参加業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R3.html"
"shitauke-2021-11-12-0274","shitauke","2021-11-12","2021","","株式会社ナガワ","株式会社ナガワ","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R3FYkankoku.html"
"shitauke-2021-06-30-0275","shitauke","2021-06-30","2021","","東京吉岡株式会社","東京吉岡株式会社","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R3FYkankoku.html"
"shitauke-2021-06-23-0276","shitauke","2021-06-23","2021","","株式会社ティーガイア","株式会社ティーガイア","第4条第1項第3号","第4条第1項第3号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R3FYkankoku.html"
